Chapter,Unit,Difficulty,Question,Option_1,Option_2,Option_3,Option_4,Correct_Option
Physics,Unit 1,Motion,"Forces and Energy, easy, What is Newton's first law of motion?",An object will remain at rest or in uniform motion unless acted upon by a force,F = ma,"For every action, there is an equal and opposite reaction",Energy cannot be created nor destroyed,Option 1
Physics,Unit 1,Motion,"Forces and Energy, easy, What is Newton's first law of motion?",An object will remain at rest or in uniform motion unless acted upon by a force,F = ma,"For every action, there is an equal and opposite reaction",Energy cannot be created nor destroyed,Option 1
Physics,Unit 1,Motion,"Forces and Energy, easy, What is the unit of force?",Newton,Joule,Watt,Meter,Option 1
Physics,Unit 1,Motion,"Forces and Energy, medium, What is the work done on an object when a force of 5 N is applied over a distance of 3 m?",15 Joules,8 Joules,10 Joules,20 Joules,Option 1
Physics,Unit 1,Motion,"Forces and Energy, medium, What is the potential energy of a 5 kg object held 10 m above the ground?",500 Joules,50 Joules,100 Joules,250 Joules,Option 1
Physics,Unit 1,Motion,"Forces and Energy, hard, What is the principle of conservation of mechanical energy?",The total mechanical energy remains constant in an isolated system,Energy can neither be created nor destroyed,The total mechanical energy decreases in an isolated system,Energy can be transformed from one form to another,Option 1
Physics,Unit 1,Motion,"Forces and Energy, hard, What is the equation for kinetic energy?",KE = 1/2 mv^2,KE = mv,KE = mgh,KE = Fd,Option 1
Physics,Unit 2,Thermal Physics,"easy, What is the unit of temperature in the International System of Units?",Kelvin,Celsius,Fahrenheit,Rankine,Option 1
Physics,Unit 2,Thermal Physics,"easy, What is thermal equilibrium?",When two systems are at the same temperature,When heat flows from a hot body to a cold body,When a body's temperature remains constant,When a body's temperature is increasing,Option 1
Physics,Unit 2,Thermal Physics,"medium, What is the formula for calculating heat transferred?",Q = mcΔT,Q = mv,Q = ma,Q = mc^2,Option 1
Physics,Unit 2,Thermal Physics,"medium, What is the specific heat capacity?",The amount of heat required to raise the temperature of a unit mass of a substance by one degree Celsius,The amount of heat that flows per unit time,The total amount of heat in a system,The heat capacity per mole of a substance,Option 1
Physics,Unit 2,Thermal Physics,"hard, What is the principle of heat engines?",Converting heat into work,Converting work into heat,Maintaining a constant temperature,Preventing heat transfer,Option 1
Physics,Unit 2,Thermal Physics,"hard, What is entropy?",A measure of the disorder of a system,A measure of the energy of a system,A measure of the temperature of a system,A measure of the pressure of a system,Option 1
Physics,Unit 3,Waves,"easy, What is the frequency of a wave?",The number of wave cycles per unit time,The distance between two wave crests,The height of a wave crest,The speed of a wave,Option 1
Physics,Unit 3,Waves,"easy, What is the amplitude of a wave?",The maximum displacement of a wave from its rest position,The distance between two wave crests,The speed of a wave,The number of wave cycles per unit time,Option 1
Physics,Unit 3,Waves,"medium, What is the principle of superposition?",The displacement of a point due to the superposition of wave systems is equal to the sum of the displacements of individual waves at that point,Waves can cancel each other out,Waves can reinforce each other,Waves can reflect off boundaries,Option 1
Physics,Unit 3,Waves,"medium, What is the formula for the speed of a wave?",v = fλ,v = f^2,v = λ^2,v = ft,Option 1
Physics,Unit 3,Waves,"hard, What is the Doppler effect?",A change in frequency or wavelength of a wave in relation to an observer,The reflection of waves off a boundary,The refraction of waves through a medium,The interference of waves,Option 1
Physics,Unit 3,Waves,"hard, What is the difference between transverse and longitudinal waves?","Transverse waves oscillate perpendicular to the direction of the wave, while longitudinal waves oscillate parallel to the direction of the wave","Transverse waves oscillate parallel to the direction of the wave, while longitudinal waves oscillate perpendicular to the direction of the wave",Transverse waves have a higher frequency,Longitudinal waves have a higher frequency,Option 1
Physics,Unit 4,Electricity and Magnetism,"easy, What is the unit of electric charge?",Coulomb,Ampere,Volt,Ohm,Option 1
Physics,Unit 4,Electricity and Magnetism,"easy, What is Ohm's Law?",V = IR,V = I/R,V = I^2R,V = IR^2,Option 1
Physics,Unit 4,Electricity and Magnetism,"medium, What is the principle of electromagnetic induction?",The production of an electromotive force across a conductor when it is exposed to a varying magnetic field,The production of a magnetic field by an electric current,The attraction or repulsion between electric charges,The attraction or repulsion between magnetic poles,Option 1
Physics,Unit 4,Electricity and Magnetism,"medium, What is the formula for calculating the magnetic field strength of a long straight current-carrying wire?",B = μ₀I/(2πr),B = μ₀I/(πr^2),B = μ₀I/(4πr),B = μ₀I/(πr),Option 1
Physics,Unit 4,Electricity and Magnetism,"hard, What is the Lorentz force?",The force experienced by a charged particle moving through an electric and magnetic field,The force between two electric charges,The force between two magnetic poles,The force of gravity on a charged particle,Option 1
Physics,Unit 4,Electricity and Magnetism,"hard, What is the principle of the motor effect?",A current-carrying wire in a magnetic field experiences a force,A wire moving in a magnetic field produces an electric current,A changing magnetic field produces an electric current,A steady magnetic field produces an electric current,Option 1
Physics,Unit 5,Nuclear Physics,"easy, What is the strong nuclear force?",The force that holds protons and neutrons together in the nucleus,The force between electrons and protons,The force of gravity on a nucleus,The force that holds electrons in their orbits,Option 1
